time_s,voltage_v
0.0,-0.0239903
0.0002,-0.02352128
0.0004,-0.02176956
0.0006,-0.01945541
0.0008,-0.01688076
0.001,-0.01475336
0.0012,-0.01310677
0.0014,-0.01324918
0.0016,-0.01284242
0.0018,-0.01040185
0.002,-0.008420465
0.0022,-0.007502866
0.0024,-0.004159667
0.0026,-0.00124604
0.0028,0.002387666
0.003,0.004894011
0.0032,0.006969164
0.0034,0.009989547
0.0036,0.01257976
0.0038,0.01518537
0.004,0.01775142
0.0042,0.02074277
0.0044,0.02438496
0.0046,0.02536182
0.0048,0.02624977
0.005,0.02688573
0.0052,0.02960273
0.0054,0.03199841
0.0056,0.03194706
0.0058,0.03318657
0.006,0.03355421
0.0062,0.03404616
0.0064,0.03505513
0.0066,0.035665
0.0068,0.03687359
0.007,0.03852323
0.0072,0.03889852
0.0074,0.03883045
0.0076,0.03805972
0.0078,0.03800059
0.008,0.03819967
0.0082,0.0384772
0.0084,0.0365354
0.0086,0.03480823
0.0088,0.03477336
0.009,0.03248469
0.0092,0.03116576
0.0094,0.0305173
0.0096,0.02909746
0.0098,0.02642742
0.01,0.02552048
0.0102,0.02374984
0.0104,0.02112534
0.0106,0.01929147
0.0108,0.01630593
0.011,0.0140126
0.0112,0.01168324
0.0114,0.01108685
0.0116,0.00935802
0.0118,0.007002461
0.012,0.006329983
0.0122,0.003306408
0.0124,0.000116946
0.0126,-0.00142463
0.0128,-0.005155934
0.013,-0.008188601
0.0132,-0.01064134
0.0134,-0.01325017
0.0136,-0.01620798
0.0138,-0.01890626
0.014,-0.0206499
0.0142,-0.02189283
0.0144,-0.02466939
0.0146,-0.02786429
0.0148,-0.03080198
0.015,-0.0313136
0.0152,-0.03098528
0.0154,-0.03265458
0.0156,-0.03451043
0.0158,-0.0342523
0.016,-0.03390937
0.0162,-0.03237994
0.0164,-0.03282727
0.0166,-0.03403508
0.0168,-0.03560837
0.017,-0.0383709
0.0172,-0.03787678
0.0174,-0.03706938
0.0176,-0.03697055
0.0178,-0.03819471
0.018,-0.03945135
0.0182,-0.03691145
0.0184,-0.0343774
0.0186,-0.03444138
0.0188,-0.03448865
0.019,-0.03388973
0.0192,-0.0318368
0.0194,-0.02903635
0.0196,-0.02774952
0.0198,-0.02501334
0.02,-0.02293906
0.0202,-0.01999141
0.0204,-0.01846665
0.0206,-0.01613203
0.0208,-0.01347965
0.021,-0.01150059
0.0212,-0.009471864
0.0214,-0.008121192
0.0216,-0.006628965
0.0218,-0.005976601
0.022,-0.004348569
0.0222,-0.001699082
0.0224,0.0004553272
0.0226,0.001389181
0.0228,0.004852117
0.023,0.008616119
0.0232,0.01098052
0.0234,0.01392545
0.0236,0.01500221
0.0238,0.01664258
0.024,0.01836362
0.0242,0.02068087
0.0244,0.02303758
0.0246,0.0244374
0.0248,0.02521807
0.025,0.02522643
0.0252,0.02623221
0.0254,0.0291492
0.0256,0.03169404
0.0258,0.03264416
0.026,0.03278269
0.0262,0.03480684
0.0264,0.03607834
0.0266,0.03658598
0.0268,0.03721955
0.027,0.03703574
0.0272,0.03690517
0.0274,0.03764885
0.0276,0.03922141
0.0278,0.03992995
0.028,0.03965551
0.0282,0.03900813
0.0284,0.03739732
0.0286,0.0371653
0.0288,0.03729665
0.029,0.03520701
0.0292,0.03477977
0.0294,0.03318434
0.0296,0.02847793
0.0298,0.02480711
0.03,0.02258488
0.0302,0.02214023
0.0304,0.02111898
0.0306,0.01836334
0.0308,0.01469641
0.031,0.01011143
0.0312,0.007777098
0.0314,0.00708089
0.0316,0.004763553
0.0318,0.003419289
0.032,0.003201668
0.0322,0.0005051243
0.0324,-0.002883989
0.0326,-0.004923757
0.0328,-0.00687919
0.033,-0.007727558
0.0332,-0.009983672
0.0334,-0.01254494
0.0336,-0.01454517
0.0338,-0.01646978
0.034,-0.01798069
0.0342,-0.02011438
0.0344,-0.02265629
0.0346,-0.02515362
0.0348,-0.02677769
0.035,-0.0277814
0.0352,-0.0292774
0.0354,-0.03306029
0.0356,-0.03287775
0.0358,-0.0323299
0.036,-0.03299849
0.0362,-0.03277106
0.0364,-0.03208309
0.0366,-0.03314248
0.0368,-0.03468146
0.037,-0.03613119
0.0372,-0.03739373
0.0374,-0.0383838
0.0376,-0.03729749
0.0378,-0.03622584
0.038,-0.03537739
0.0382,-0.03443504
0.0384,-0.03379397
0.0386,-0.03527775
0.0388,-0.03459264
0.039,-0.03308991
0.0392,-0.03297268
0.0394,-0.03137347
0.0396,-0.02875348
0.0398,-0.02537258
0.04,-0.02339318
0.0402,-0.02120163
0.0404,-0.0182914
0.0406,-0.01554358
0.0408,-0.01326495
0.041,-0.01036925
0.0412,-0.007784759
0.0414,-0.006155129
0.0416,-0.005120306
0.0418,-0.004191796
0.042,-0.00335595
0.0422,-0.001815371
0.0424,0.0008492364
0.0426,0.004024264
0.0428,0.006552306
0.043,0.009803416
0.0432,0.01320811
0.0434,0.01625464
0.0436,0.01716379
0.0438,0.01828529
0.044,0.02132208
0.0442,0.02322276
0.0444,0.02535327
0.0446,0.02683873
0.0448,0.02776039
0.045,0.02726185
0.0452,0.02937763
0.0454,0.03213005
0.0456,0.03364917
0.0458,0.03495993
0.046,0.03491588
0.0462,0.03631308
0.0464,0.03714176
