Source File Name:	Scan
Signal:	Time - Ref1 Voltage - Samples

Time	Time Signal
[ s ]	[ V ]
0	-0.010987
0.0002	-0.01077463
0.0004	-0.008599169
0.0006	-0.009726486
0.0008	-0.01054887
0.001	-0.00908868
0.0012	-0.0093772
0.0014	-0.007180385
0.0016	-0.004186496
0.0018	-0.003234195
0.002	-0.002189436
0.0022	0.0008316367
0.0024	0.002259633
0.0026	0.003016382
0.0028	0.005192668
0.003	0.004614407
0.0032	0.005699679
0.0034	0.005749689
0.0036	0.004995062
0.0038	0.004284563
0.004	0.004584261
0.0042	0.004675451
0.0044	0.004930113
0.0046	0.006209797
0.0048	0.006119569
0.005	0.008231092
0.0052	0.009216606
0.0054	0.01213825
0.0056	0.01452045
0.0058	0.01586464
0.006	0.0139597
0.0062	0.01344966
0.0064	0.01551411
0.0066	0.01549407
0.0068	0.01693482
0.007	0.01729707
0.0072	0.01636633
0.0074	0.01659806
0.0076	0.01498925
0.0078	0.01361024
0.008	0.01662179
0.0082	0.01693156
0.0084	0.01752185
0.0086	0.01739257
0.0088	0.01679988
0.009	0.01702723
0.0092	0.01611817
0.0094	0.01757998
0.0096	0.01680613
0.0098	0.01535934
0.01	0.01382482
0.0102	0.0120237
0.0104	0.01208158
0.0106	0.01160352
0.0108	0.009504993
0.011	0.007806652
0.0112	0.009121455
0.0114	0.008089143
0.0116	0.007730918
0.0118	0.007119472
0.012	0.004245954
0.0122	0.00298649
0.0124	0.001493067
0.0126	0.00112234
0.0128	-0.001293464
0.013	-0.002241665
0.0132	-0.006123131
0.0134	-0.0080668
0.0136	-0.007866679
0.0138	-0.009627983
0.014	-0.009892928
0.0142	-0.01036738
0.0144	-0.01255131
0.0146	-0.01463429
0.0148	-0.0146581
0.015	-0.01271971
0.0152	-0.01364946
0.0154	-0.01449572
0.0156	-0.01519382
0.0158	-0.01767812
0.016	-0.01791081
0.0162	-0.01775069
0.0164	-0.0190479
0.0166	-0.01930674
0.0168	-0.01939654
0.017	-0.02135722
0.0172	-0.02217911
0.0174	-0.02033172
0.0176	-0.02150567
0.0178	-0.02131657
0.018	-0.019365
0.0182	-0.01911905
0.0184	-0.01717434
0.0186	-0.01609024
0.0188	-0.01512318
0.019	-0.01566447
0.0192	-0.01406539
0.0194	-0.01325943
0.0196	-0.01288325
0.0198	-0.01178029
0.02	-0.01118468
0.0202	-0.01113048
0.0204	-0.01059249
0.0206	-0.01014817
0.0208	-0.01009507
0.021	-0.007579737
0.0212	-0.005406576
0.0214	-0.005661921
0.0216	-0.003681928
0.0218	-0.002035807
0.022	-0.000594882
0.0222	0.000583449
0.0224	0.003317547
0.0226	0.00113448
0.0228	0.001134624
0.023	0.004472261
0.0232	0.005247709
0.0234	0.006583583
0.0236	0.009004631
0.0238	0.01209555
0.024	0.01180552
0.0242	0.01132895
0.0244	0.009088741
0.0246	0.009846217
0.0248	0.01179511
0.025	0.01239547
0.0252	0.01362677
0.0254	0.01308026
0.0256	0.01503922
0.0258	0.01570098
0.026	0.01568046
0.0262	0.01491301
0.0264	0.01314987
0.0266	0.01483825
0.0268	0.01525847
0.027	0.01599208
0.0272	0.01647045
0.0274	0.01657183
0.0276	0.01679659
0.0278	0.01765464
0.028	0.01803802
0.0282	0.01704739
0.0284	0.01711903
0.0286	0.01504217
0.0288	0.01547477
0.029	0.01460339
0.0292	0.01352634
0.0294	0.0115498
0.0296	0.01036169
0.0298	0.01056886
0.03	0.008819262
0.0302	0.008891667
0.0304	0.007340628
0.0306	0.005516722
0.0308	0.005238895
0.031	0.005154423
0.0312	0.00514997
0.0314	0.00505417
0.0316	0.001900975
0.0318	-0.00135313
0.032	-0.0008842518
0.0322	-0.002292121
0.0324	-0.003467914
0.0326	-0.00427825
0.0328	-0.004819375
0.033	-0.005499598
0.0332	-0.008034597
0.0334	-0.008384323
0.0336	-0.009178338
0.0338	-0.009412679
0.034	-0.009584316
0.0342	-0.009145236
0.0344	-0.008718875
0.0346	-0.01110687
0.0348	-0.01261738
0.035	-0.01372116
0.0352	-0.01366772
0.0354	-0.01633648
0.0356	-0.0187573
0.0358	-0.01969426
0.036	-0.02082188
0.0362	-0.02017361
0.0364	-0.0213585
0.0366	-0.02295905
0.0368	-0.0242279
0.037	-0.02063004
0.0372	-0.02163582
0.0374	-0.02286391
0.0376	-0.0196565
0.0378	-0.02016897
0.038	-0.02094148
0.0382	-0.01984051
0.0384	-0.01796348
0.0386	-0.01887015
0.0388	-0.01751642
0.039	-0.01771656
0.0392	-0.01755664
0.0394	-0.01408909
0.0396	-0.01324851
0.0398	-0.01216336
0.04	-0.01088442
0.0402	-0.01050196
0.0404	-0.009023399
0.0406	-0.00633531
0.0408	-0.004925761
0.041	-0.00665965
0.0412	-0.007457077
0.0414	-0.00699214
0.0416	-0.005909149
0.0418	-0.003007997
0.042	-0.000866265
0.0422	-0.001009125
0.0424	0.00299021
0.0426	0.004045276
0.0428	0.005512371
0.043	0.008398802
0.0432	0.007843504
0.0434	0.009002192
0.0436	0.009688516
0.0438	0.0107971
0.044	0.01143402
0.0442	0.01538579
0.0444	0.01595778
0.0446	0.01305109
0.0448	0.01393104
0.045	0.01537948
0.0452	0.01674525
0.0454	0.01898061
0.0456	0.0189268
0.0458	0.01804012
0.046	0.01798807
0.0462	0.02102316
0.0464	0.02151708
0.0466	0.0227029
0.0468	0.02261535
0.047	0.0188386
0.0472	0.01840343
0.0474	0.01791765
0.0476	0.01864025
0.0478	0.01843854
0.048	0.01941098
0.0482	0.01989984
0.0484	0.01702985
0.0486	0.01610982
0.0488	0.01512387
0.049	0.01523289
0.0492	0.0147209
0.0494	0.01344412
0.0496	0.01316517
0.0498	0.01316561
0.05	0.01327376
0.0502	0.01140047
0.0504	0.01134548
0.0506	0.00831166
0.0508	0.006056949
0.051	0.00511947
0.0512	0.005733289
0.0514	0.007836259
0.0516	0.006075383
0.0518	0.003769268
0.052	0.002184001
0.0522	-0.000797863
0.0524	-0.0009281579
0.0526	-0.001337956
0.0528	-0.004935852
0.053	-0.007577661
0.0532	-0.008322435
0.0534	-0.009906604
0.0536	-0.009870854
0.0538	-0.01030488
0.054	-0.01071363
0.0542	-0.01382652
0.0544	-0.01329128
0.0546	-0.01209572
0.0548	-0.01233625
0.055	-0.01377113
0.0552	-0.01648773
0.0554	-0.01715216
0.0556	-0.01813498
0.0558	-0.01773446
0.056	-0.01819535
0.0562	-0.0178019
0.0564	-0.01824166
0.0566	-0.02062585
0.0568	-0.02024831
0.057	-0.01934071
0.0572	-0.01867533
0.0574	-0.01804052
0.0576	-0.01707445
0.0578	-0.018522
0.058	-0.01704783
0.0582	-0.01601866
0.0584	-0.01644431
0.0586	-0.01637349
0.0588	-0.01490237
0.059	-0.01335134
0.0592	-0.01160275
0.0594	-0.01145848
0.0596	-0.01352052
0.0598	-0.01187208
0.06	-0.01121759
0.0602	-0.01048681
0.0604	-0.01010659
0.0606	-0.01031222
0.0608	-0.01079108
0.061	-0.0104001
0.0612	-0.007528455
0.0614	-0.007508536
0.0616	-0.003673173
0.0618	-0.0001983178
0.062	-0.000510318
0.0622	0.00128009
0.0624	0.003078116
0.0626	0.003440892
0.0628	0.004844954
0.063	0.007164454
0.0632	0.006829714
0.0634	0.008321323
0.0636	0.009478103
0.0638	0.01097972
0.064	0.01214395
0.0642	0.01272877
0.0644	0.01232571
0.0646	0.01328816
0.0648	0.01493614
0.065	0.01437972
0.0652	0.01591091
0.0654	0.01839951
0.0656	0.01838689
0.0658	0.01896512
0.066	0.01985714
0.0662	0.02107099
0.0664	0.02102156
0.0666	0.02080314
0.0668	0.01892612
0.067	0.01824227
0.0672	0.0201655
0.0674	0.01934133
0.0676	0.01940671
0.0678	0.01996112
0.068	0.02051993
0.0682	0.01900789
0.0684	0.01814834
0.0686	0.01670841
0.0688	0.01461239
0.069	0.01556836
0.0692	0.01371867
0.0694	0.01342936
0.0696	0.01281521
0.0698	0.01230839
0.07	0.01060942
0.0702	0.01040341
0.0704	0.00928054
0.0706	0.007045499
