Source File Name:	Scan
Signal:	Time - Ref1 Voltage - Samples

Time	Time Signal
[ s ]	[ V ]
0	0.02277251
0.0002	0.02010882
0.0004	0.01865912
0.0006	0.01758623
0.0008	0.01627667
0.001	0.01298263
0.0012	0.01122655
0.0014	0.009361555
0.0016	0.006640065
0.0018	0.003374538
0.002	-0.0005172457
0.0022	-0.004011936
0.0024	-0.008163796
0.0026	-0.01186539
0.0028	-0.01479846
0.003	-0.01799566
0.0032	-0.02155576
0.0034	-0.02253806
0.0036	-0.02483182
0.0038	-0.02568045
0.004	-0.02604777
0.0042	-0.02749987
0.0044	-0.02870165
0.0046	-0.02898387
0.0048	-0.02962968
0.005	-0.03120316
0.0052	-0.03172776
0.0054	-0.0324276
0.0056	-0.0333561
0.0058	-0.03428975
0.006	-0.03277127
0.0062	-0.03308498
0.0064	-0.03395059
0.0066	-0.03442952
0.0068	-0.03672749
0.007	-0.03681649
0.0072	-0.03706532
0.0074	-0.0382152
0.0076	-0.03745496
0.0078	-0.03608465
0.008	-0.03563838
0.0082	-0.0335997
0.0084	-0.03242508
0.0086	-0.03175377
0.0088	-0.03061757
0.009	-0.02902319
0.0092	-0.02730926
0.0094	-0.02576593
0.0096	-0.02212537
0.0098	-0.01830705
0.01	-0.01646942
0.0102	-0.01534031
0.0104	-0.01350277
0.0106	-0.01166367
0.0108	-0.009947918
0.011	-0.007271524
0.0112	-0.006039509
0.0114	-0.005138753
0.0116	-0.003164537
0.0118	-1.573132e-6
0.012	0.00186345
0.0122	0.003920541
0.0124	0.00695688
0.0126	0.009397637
0.0128	0.01128661
0.013	0.01348421
0.0132	0.01531893
0.0134	0.01759524
0.0136	0.01916914
0.0138	0.02146656
0.014	0.02341491
0.0142	0.02503855
0.0144	0.02670054
0.0146	0.02877787
0.0148	0.03059435
0.015	0.0301483
0.0152	0.03080913
0.0154	0.03199362
0.0156	0.03318212
0.0158	0.03448321
0.016	0.03624848
0.0162	0.03712024
0.0164	0.03755649
0.0166	0.03749983
0.0168	0.03630536
0.017	0.03731844
0.0172	0.03944933
0.0174	0.03923983
0.0176	0.03778849
0.0178	0.03646122
0.018	0.03713094
0.0182	0.03558258
0.0184	0.03373853
0.0186	0.03131822
0.0188	0.0298006
0.019	0.02767898
0.0192	0.02463697
0.0194	0.02386564
0.0196	0.02290427
0.0198	0.02194088
0.02	0.02041282
0.0202	0.01842566
0.0204	0.01527497
0.0206	0.01303451
0.0208	0.01162475
0.021	0.009364272
0.0212	0.007149815
0.0214	0.006238973
0.0216	0.004144288
0.0218	0.00148673
0.022	-0.0006538715
0.0222	-0.003024837
0.0224	-0.003927942
0.0226	-0.005213886
0.0228	-0.007543871
0.023	-0.009966028
0.0232	-0.01321771
0.0234	-0.01621892
0.0236	-0.01902412
0.0238	-0.02217225
0.024	-0.02367153
0.0242	-0.0246989
0.0244	-0.02714484
0.0246	-0.02834628
0.0248	-0.0288406
0.025	-0.03005731
0.0252	-0.03057639
0.0254	-0.0325625
0.0256	-0.03280619
0.0258	-0.03221234
0.026	-0.0345574
0.0262	-0.03396987
0.0264	-0.03623108
0.0266	-0.03795987
0.0268	-0.03797052
0.027	-0.03684543
0.0272	-0.03595375
0.0274	-0.03506725
0.0276	-0.03536724
0.0278	-0.03547481
0.028	-0.0356461
0.0282	-0.03496087
0.0284	-0.03309476
0.0286	-0.03258671
0.0288	-0.03200281
0.029	-0.03074261
0.0292	-0.02914722
0.0294	-0.02641055
0.0296	-0.02362594
0.0298	-0.02057035
0.03	-0.018734
0.0302	-0.01797682
0.0304	-0.01621062
0.0306	-0.01249637
0.0308	-0.01085677
0.031	-0.01045696
0.0312	-0.009754884
0.0314	-0.009519115
0.0316	-0.008549103
0.0318	-0.005355109
0.032	-0.002120108
0.0322	0.0005119445
0.0324	0.004298632
0.0326	0.008477166
0.0328	0.01076363
0.033	0.01222941
0.0332	0.0156922
0.0334	0.01864094
0.0336	0.01917314
0.0338	0.02020318
0.034	0.02215981
0.0342	0.02255836
0.0344	0.02358951
0.0346	0.02626364
0.0348	0.02952115
0.035	0.03129931
0.0352	0.03102897
0.0354	0.0314183
0.0356	0.03242667
0.0358	0.03339565
0.036	0.03338358
0.0362	0.03249878
0.0364	0.03142129
0.0366	0.03155397
0.0368	0.03105465
0.037	0.03182311
0.0372	0.03376013
0.0374	0.03568062
0.0376	0.03456013
0.0378	0.03390071
0.038	0.0351187
0.0382	0.03453693
0.0384	0.03188864
0.0386	0.02970018
0.0388	0.03033429
0.039	0.02920417
0.0392	0.02637016
0.0394	0.02396128
0.0396	0.02187586
0.0398	0.01971558
0.04	0.0178272
0.0402	0.01751355
0.0404	0.01595191
0.0406	0.01456303
0.0408	0.01331161
0.041	0.01119918
0.0412	0.009540333
0.0414	0.007071114
0.0416	0.004537075
0.0418	0.002075007
0.042	0.0003471356
0.0422	-0.002351693
0.0424	-0.003890433
0.0426	-0.006718534
0.0428	-0.008441321
0.043	-0.01076334
0.0432	-0.01378291
0.0434	-0.01690646
0.0436	-0.02000645
0.0438	-0.02111875
0.044	-0.02244211
0.0442	-0.02438316
0.0444	-0.02730064
0.0446	-0.02926538
0.0448	-0.03047007
0.045	-0.03162152
0.0452	-0.03258752
0.0454	-0.03349299
0.0456	-0.03368782
0.0458	-0.0332768
0.046	-0.03333936
0.0462	-0.03313881
0.0464	-0.03438774
0.0466	-0.03537479
0.0468	-0.03573697
0.047	-0.03684888
0.0472	-0.03603752
0.0474	-0.03673002
0.0476	-0.03735777
0.0478	-0.03803727
0.048	-0.03716698
0.0482	-0.03430897
0.0484	-0.03336403
0.0486	-0.03235824
0.0488	-0.03110361
0.049	-0.0291946
0.0492	-0.02863448
0.0494	-0.02716354
0.0496	-0.02535266
0.0498	-0.02348348
0.05	-0.02183246
0.0502	-0.01848041
0.0504	-0.01341403
0.0506	-0.01264538
0.0508	-0.01153972
0.051	-0.01016384
0.0512	-0.006699258
0.0514	-0.004265512
0.0516	-0.002572425
0.0518	0.0001775546
0.052	0.002028987
0.0522	0.005302784
0.0524	0.008012754
0.0526	0.009229638
0.0528	0.01095354
0.053	0.01382419
0.0532	0.01552633
0.0534	0.01777737
0.0536	0.01979435
0.0538	0.02110771
0.054	0.02162049
0.0542	0.02245213
0.0544	0.02387196
0.0546	0.02559831
0.0548	0.02708506
0.055	0.02761323
0.0552	0.02949194
0.0554	0.0307486
0.0556	0.03209674
0.0558	0.03240732
0.056	0.03283737
0.0562	0.03259792
0.0564	0.03469142
0.0566	0.03653817
0.0568	0.03573574
0.057	0.03621187
0.0572	0.03626495
0.0574	0.03795951
0.0576	0.03829708
0.0578	0.0379469
0.058	0.03949267
0.0582	0.03761355
0.0584	0.03650863
0.0586	0.03542398
0.0588	0.03452112
0.059	0.03377286
0.0592	0.0310645
0.0594	0.02827251
0.0596	0.02781285
0.0598	0.02433917
0.06	0.02379521
0.0602	0.02277502
0.0604	0.01945861
0.0606	0.01654112
0.0608	0.01405283
0.061	0.012891
0.0612	0.01270733
0.0614	0.01137949
0.0616	0.009105515
0.0618	0.005803076
0.062	0.003162107
0.0622	0.0001255183
0.0624	-0.001842673
0.0626	-0.005011695
0.0628	-0.006921905
0.063	-0.008189769
0.0632	-0.0114528
0.0634	-0.01455227
0.0636	-0.01640089
0.0638	-0.01958297
0.064	-0.02296601
0.0642	-0.02497246
0.0644	-0.02726364
0.0646	-0.02706429
0.0648	-0.02698211
0.065	-0.0286868
0.0652	-0.03034861
0.0654	-0.03329177
0.0656	-0.0347107
0.0658	-0.03545051
0.066	-0.03521557
0.0662	-0.03480693
0.0664	-0.03437383
0.0666	-0.03436829
0.0668	-0.03526228
0.067	-0.03784306
0.0672	-0.03748871
0.0674	-0.03602128
0.0676	-0.03716497
0.0678	-0.03718277
0.068	-0.0365734
0.0682	-0.03604919
0.0684	-0.03581999
0.0686	-0.0325923
0.0688	-0.03057918
0.069	-0.02856462
0.0692	-0.02720611
0.0694	-0.02503584
0.0696	-0.02321559
0.0698	-0.02112826
0.07	-0.01893875
