Source File Name:	Scan
Signal:	Time - Ref2 Voltage - Samples

Time	Time Signal
[ s ]	[ V ]
0	0.02396235
0.0002	0.02350305
0.0004	0.0254464
0.0006	0.02667895
0.0008	0.02681234
0.001	0.02586274
0.0012	0.02445242
0.0014	0.022528
0.0016	0.01954832
0.0018	0.01705341
0.002	0.01418588
0.0022	0.008791233
0.0024	0.004771552
0.0026	0.004258308
0.0028	0.003383804
0.003	0.001909039
0.0032	-0.0003739403
0.0034	-0.002588258
0.0036	-0.003032042
0.0038	-0.003609869
0.004	-0.006435619
0.0042	-0.006902846
0.0044	-0.007544918
0.0046	-0.01058441
0.0048	-0.01252125
0.005	-0.0126466
0.0052	-0.01318663
0.0054	-0.01373418
0.0056	-0.01465432
0.0058	-0.01652507
0.006	-0.0170964
0.0062	-0.01943628
0.0064	-0.02114884
0.0066	-0.02153878
0.0068	-0.02196216
0.007	-0.02251326
0.0072	-0.02398156
0.0074	-0.02523429
0.0076	-0.02710896
0.0078	-0.02766431
0.008	-0.02763695
0.0082	-0.02738707
0.0084	-0.02666062
0.0086	-0.02650438
0.0088	-0.02678056
0.009	-0.02693596
0.0092	-0.0254183
0.0094	-0.02408036
0.0096	-0.02447402
0.0098	-0.02529597
0.01	-0.02397136
0.0102	-0.02120247
0.0104	-0.02007389
0.0106	-0.01910265
0.0108	-0.01837739
0.011	-0.01683648
0.0112	-0.01548925
0.0114	-0.01679584
0.0116	-0.01586957
0.0118	-0.01431235
0.012	-0.01224739
0.0122	-0.01006867
0.0124	-0.007812929
0.0126	-0.006232204
0.0128	-0.004574012
0.013	-0.002661041
0.0132	-0.001273763
0.0134	0.0007283844
0.0136	0.0022884
0.0138	0.003815413
0.014	0.00481908
0.0142	0.005151727
0.0144	0.007349847
0.0146	0.00958351
0.0148	0.01208777
0.015	0.01477461
0.0152	0.01503835
0.0154	0.01684426
0.0156	0.01866168
0.0158	0.01932772
0.016	0.02000713
0.0162	0.01895385
0.0164	0.01911303
0.0166	0.02057356
0.0168	0.0216951
0.017	0.02246722
0.0172	0.02290325
